aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
 ,마일스디오빌,2004,개인, , ,"37,200",5,6,2026,중개거래,서울 서초구,36.29,14,58-2,N, ,11680,개인,논현동
 ,삼익,1983,개인, , ,"280,000",1,6,2026,중개거래,서울 강남구,153.71,6,869,N, ,11680,개인,도곡동
2,선경1차(1동-7동),1983,개인, , ,"600,000",2,6,2026,중개거래,서울 강남구,163.92,9,506,N,26.07.16,11680,개인,대치동
 ,세곡푸르지오,2012,개인, , ,"188,000",15,6,2026,중개거래,"서울 강남구, 서울 마포구",74.74,15,533,N, ,11680,개인,세곡동
 ,하이페리온,2004,개인, , ,"315,000",10,6,2026,중개거래,서울 강남구,182.6,5,968,N, ,11680,법인,도곡동
 ,"현대6차(78~81,83,84,86,87동)",1978,개인, , ,"792,000",5,6,2026,중개거래,서울 강남구,157.36,8,456,N, ,11680,개인,압구정동
 ,한보미도맨션1,1983,개인, , ,"404,000",6,6,2026,중개거래,서울 강남구,84.48,11,511,N, ,11680,개인,대치동
 ,럭키(963),1995,개인, , ,"262,000",14,6,2026,중개거래,서울 강남구,84.97,11,963,N, ,11680,개인,도곡동
 ,래미안블레스티지,2019,개인,26.06.18,O,"392,000",13,6,2026,중개거래,서울 강남구,99.967,23,1280,N, ,11680,개인,개포동
 ,성원대치2단지아파트,1992,개인, , ,"150,000",13,6,2026,중개거래,서울 강남구,33.18,5,12,N, ,11680,개인,개포동
201,세곡푸르지오,2012,개인, , ,"191,000",12,6,2026,중개거래,서울 강남구,84.84,9,533,N,26.07.10,11680,개인,세곡동
 ,논현파라곤,2007,개인, , ,"155,000",13,6,2026,중개거래,서울 강남구,84.4,7,241-1,N, ,11680,개인,논현동
 ,그랜빌캐슬,2003,개인, , ,"250,000",11,6,2026,중개거래,서울 강남구,136.14,2,190-3,N, ,11680,개인,도곡동
 ,신동아,1992,개인, , ,"161,000",12,6,2026,중개거래,서울 강남구,33.18,5,736,N, ,11680,개인,수서동
 ,개포자이프레지던스,2023,개인, , ,"430,000",2,6,2026,중개거래,서울 강남구,102.7636,7,1284,N, ,11680,개인,개포동
 ,현대아파트3,1986,개인, , ,"401,000",2,6,2026,중개거래,서울 강남구,163.85,6,177,N, ,11680,개인,개포동
 ,마일스디오빌,2004,개인, , ,"35,000",12,6,2026,중개거래,서울 강남구,36.29,12,58-2,N, ,11680,개인,논현동
 ,현대1차101동~106동,1984,개인, , ,"400,000",10,6,2026,중개거래,서울 강남구,177.19,3,653,N, ,11680,개인,개포동
 ,성원대치2단지아파트,1992,개인, , ,"171,500",11,6,2026,중개거래,서울 강남구,39.53,3,12,N, ,11680,개인,개포동
 ,논현동한화꿈에그린,2005,개인, , ,"111,000",4,6,2026,중개거래,서울 강남구,67.671,1,205-2,N, ,11680,개인,논현동
 ,한솔마을,1994,개인, , ,"265,000",8,6,2026,중개거래,서울 서초구,63.76,2,731,N, ,11680,개인,일원동
 ,삼성동힐스테이트 1단지,2008,개인, , ,"173,000",10,6,2026,중개거래,서울 강남구,31.402,16,16-2,N, ,11680,개인,삼성동
 ,우민,2002,개인, , ,"143,000",9,6,2026,중개거래,서울 강남구,74.758,4,107-44,N, ,11680,개인,논현동
 ,삼성동롯데캐슬킹덤,2005,개인, , ,"278,000",1,6,2026,중개거래,서울 강남구,131.65,4,43,N, ,11680,개인,삼성동
 ,신현대12차,1982,개인, , ,"610,000",10,6,2026,중개거래,"서울 강남구, 서울 광진구",108.31,11,434,N, ,11680,개인,압구정동
 ,펜트힐루논현,2021,개인, , ,"100,000",2,6,2026,직거래, ,43.392,8,211-21,N,26.06.18,11680,개인,논현동
 ,타워팰리스3,2004,개인, , ,"570,000",4,6,2026,중개거래,서울 강남구,163.702,21,467-29,N, ,11680,개인,도곡동
 ,한일,2001,개인, , ,"229,000",8,6,2026,중개거래,서울 강남구,80.29,9,48,N, ,11680,개인,삼성동
 ,현대1차101동~106동,1984,개인, , ,"306,000",2,6,2026,중개거래,서울 강남구,95.4,5,653,N, ,11680,개인,개포동
 ,은마,1979,개인, , ,"377,000",3,6,2026,중개거래,서울 강남구,84.43,3,316,N, ,11680,개인,대치동
 ,도곡렉슬,2006,개인, , ,"364,000",6,6,2026,중개거래,"경기 김포시, 서울 강남구",84.9984,11,527,N, ,11680,개인,도곡동
 ,까치마을,1993,개인, , ,"153,500",8,6,2026,중개거래,"서울 강남구, 서울 서초구",34.44,7,746,N, ,11680,개인,수서동
 ,현대4,1987,개인, , ,"242,000",5,6,2026,중개거래,서울 강남구,84.98,1,614,N, ,11680,개인,일원동
 ,신현대11차,1983,개인, , ,"920,000",2,6,2026,중개거래,서울 강남구,183.41,3,433,N, ,11680,개인,압구정동
 ,풍림(1차),1998,개인, , ,"220,000",1,6,2026,중개거래,서울 강남구,59.7,9,106,N, ,11680,개인,삼성동
 ,개포래미안포레스트,2020,개인, , ,"270,000",3,6,2026,중개거래,서울 강남구,59.92,4,1282,N, ,11680,개인,개포동
 ,개포래미안포레스트,2020,개인, , ,"325,000",6,6,2026,중개거래,서울 강남구,84.86,7,1282,N, ,11680,개인,개포동
 ,한양1차(영동한양),1977,개인, , ,"389,000",5,6,2026,중개거래,서울 강남구,49.98,11,490,N, ,11680,개인,압구정동
 ,동부센트레빌,2005,개인, , ,"590,000",5,6,2026,중개거래,서울 강남구,145.83,12,670,N, ,11680,개인,대치동
 ,거평프리젠,1996,개인, , ,"35,000",2,6,2026,중개거래,서울 강남구,30.215,7,196,N, ,11680,개인,논현동
 ,강남 더샵 포레스트,2016,개인, , ,"320,000",5,6,2026,중개거래,서울 강남구,124.5792,10,799,N, ,11680,개인,수서동
 ,도곡1차아이파크,2007,개인, , ,"251,000",4,6,2026,직거래, ,134.789,25,543-7,N, ,11680,개인,도곡동
 ,신현대9차,1982,개인, , ,"610,000",4,6,2026,중개거래,서울 강남구,108.88,2,426,N, ,11680,개인,압구정동
 ,삼성동힐스테이트 1단지,2008,개인, , ,"360,000",4,6,2026,중개거래,서울 강남구,84.236,13,16-2,N, ,11680,개인,삼성동
 ,개포더샵트리에,2021,개인, , ,"285,000",4,6,2026,중개거래,"서울 강남구, 서울 송파구",108.2017,8,651-1,N, ,11680,개인,개포동
 ,성원대치2단지아파트,1992,개인, , ,"171,000",3,6,2026,중개거래,서울 강남구,39.53,9,12,N, ,11680,개인,개포동
 ,새롬(1164-14),2000,개인, , ,"82,000",3,6,2026,중개거래,서울 강남구,57.93,6,1164-14,N,26.06.22,11680,개인,개포동
 ,개포더샵트리에,2021,개인, , ,"280,000",3,6,2026,중개거래,서울 강남구,105.8064,14,651-1,N, ,11680,개인,개포동
